DEST,valeurs
ATL,87840
DTW,28163
ORD,54680
MDW,19384
DAL,16210
DEN,51412
LAS,34759
BWI,20759
LAX,47618
OAK,10215
SEA,28445
MCI,9651
DFW,47169
PHX,38379
SLC,25422
JFK,23530
HOU,12757
IAH,33430
SAN,17311
SFO,38711
MSP,28806
PDX,12254
SAF,212
PBI,7290
FLL,22405
RSW,10424
MYR,935
TPA,17778
MCO,31548
ANC,3464
CLT,26248
EWR,26086
MHT,1303
BET,233
HNL,10654
OGG,5321
OME,175
JNU,1001
OTZ,174
CDV,172
FAI,496
ADQ,111
SCC,226
ADK,25
BRW,221
KOA,2768
PLN,201
ALB,2154
DSM,1892
FNT,973
BNA,11195
RDU,7470
SNA,9780
MLB,358
JAN,1220
EYW,517
BOS,26823
SAV,1618
IAD,7166
LGA,23494
PHF,248
SYR,1409
JAX,4279
DCA,18667
STT,1373
ABE,494
CHO,516
ICT,1901
STL,12485
CAE,1254
SRQ,1082
AUS,10330
IND,6518
MEM,3100
GSP,1689
CLE,7834
TLH,660
ELP,2477
OMA,4028
MIA,17460
CMH,5232
PIT,5461
RIC,3519
MDT,474
BUF,4042
AVL,611
ECP,986
CHA,1024
JAC,1164
MSY,10281
FAY,409
AGS,575
DAY,1551
GRR,2192
BHM,2751
LIT,1788
SAT,6785
MKE,7930
CAK,1479
COS,1704
VPS,1015
TUL,3368
MOB,990
ATW,769
ORF,2399
CVG,3823
CHS,3066
OKC,3747
SDF,2155
HSV,913
DAB,467
TRI,459
EGE,898
CRW,555
MSN,1683
ABQ,4041
GSO,1231
PHL,16504
EVV,642
PNS,1279
BDL,4419
SJU,6807
XNA,1220
TUS,4052
ROC,1718
LEX,1152
LFT,748
HDN,536
GNV,554
STX,283
PVD,2802
SMF,9021
MTJ,485
BZN,910
SGF,678
PWM,1110
FSD,1004
GPT,730
SJC,9039
SHV,1345
TYS,1519
ILM,519
BTR,1667
ROA,498
MGM,540
CSG,279
OAJ,267
RST,266
PIA,772
AEX,610
BTV,865
GRK,620
MLU,687
FSM,372
DHN,324
HPN,1639
AVP,373
BMI,251
GRB,826
CID,984
MLI,482
VLD,238
BQK,238
GTR,246
ABY,237
EWN,161
LNK,748
ASE,1932
FWA,931
SBN,1194
TTN,433
FAR,993
SCE,175
ELM,530
HRL,707
LGB,2116
LBB,1130
GEG,2417
SUN,338
ISP,1080
YAK,168
ERI,159
MAF,1380
AMA,674
LAR,145
GJT,617
BIL,811
ONT,4446
BIS,585
PSP,3167
DRO,367
HLN,364
JMS,214
BOI,3308
EUG,841
GCC,250
BUR,4949
FAT,1642
FCA,442
RNO,2879
SBA,1356
CPR,309
ISN,482
RAP,536
MSO,560
IDA,568
RDM,517
BFL,598
GUC,135
SGU,473
PSC,875
GTF,412
MFR,649
MOT,459
RKS,158
HYS,151
LIH,2682
MMH,87
COD,117
SPI,414
ACT,407
LRD,474
BPT,205
LAW,253
TXK,225
ROW,40
TYR,369
BRO,559
MEI,229
MFE,525
JLN,170
SPS,84
SJT,74
GGG,27
LAN,650
MBS,451
TVC,361
BGM,238
AZO,594
CIU,168
MQT,161
ITH,200
APN,150
ESC,150
BGR,5
BQN,395
SWF,174
ACY,869
IAG,110
PBG,87
LBE,297
ORH,175
INL,155
ITO,1312
BLI,279
GUM,88
PPG,26
CRP,693
LCH,224
HOB,137
CLL,144
RHI,250
HIB,241
PSE,185
DVL,136
PSG,173
SIT,261
KTN,529
WRG,176
SBP,723
MRY,524
PIB,138
CMX,179
ABR,178
GFK,362
DLH,574
LSE,193
BJI,174
BRD,152
IMT,161
MKG,169
EAU,166
CWA,143
PAH,172
FLG,446
YUM,485
LWS,166
SMX,173
ACV,329
RDD,173
OTH,50
PIH,182
EKO,147
TWF,240
CDC,147
BTM,164
UST,3
