ORIGIN,valeurs
ABE,491
ABQ,4061
ABR,181
ABY,232
ACT,415
ACV,322
ACY,877
ADK,24
ADQ,102
AEX,607
AGS,577
ALB,2208
AMA,695
ANC,3483
APN,154
ASE,1926
ATL,87613
ATW,779
AUS,10351
AVL,633
AVP,388
AZO,603
BDL,4454
BET,235
BFL,593
BGM,236
BGR,7
BHM,2750
BIL,821
BIS,584
BJI,174
BLI,281
BMI,251
BNA,11254
BOI,3343
BOS,26981
BPT,201
BQK,246
BQN,400
BRD,148
BRO,548
BRW,226
BTM,156
BTR,1661
BTV,867
BUF,4077
BUR,4982
BWI,20841
BZN,922
CAE,1249
CAK,1485
CDC,147
CDV,167
CHA,1035
CHO,516
CHS,3047
CID,977
CIU,167
CLE,7842
CLL,145
CLT,26279
CMH,5299
CMX,178
COD,121
COS,1704
CPR,309
CRP,701
CRW,566
CSG,278
CVG,3847
CWA,148
DAB,463
DAL,16188
DAY,1549
DCA,18778
DEN,51307
DFW,46851
DHN,327
DLH,580
DRO,368
DSM,1907
DTW,28202
DVL,138
EAU,170
ECP,972
EGE,894
EKO,149
ELM,531
ELP,2470
ERI,162
ESC,152
EUG,845
EVV,647
EWN,164
EWR,26135
EYW,520
FAI,491
FAR,981
FAT,1641
FAY,415
FCA,439
FLG,454
FLL,22252
FNT,976
FSD,999
FSM,371
FWA,939
GCC,247
GEG,2447
GFK,355
GGG,24
GJT,631
GNV,539
GPT,748
GRB,827
GRK,621
GRR,2198
GSO,1235
GSP,1704
GTF,416
GTR,244
GUC,138
GUM,86
HDN,533
HIB,240
HLN,372
HNL,10638
HOB,141
HOU,12648
HPN,1645
HRL,687
HSV,933
HYS,148
IAD,7236
IAG,109
IAH,33406
ICT,1924
IDA,579
ILM,528
IMT,161
IND,6546
INL,153
ISN,485
ISP,1089
ITH,200
ITO,1316
JAC,1171
JAN,1215
JAX,4288
JFK,23685
JLN,175
JMS,212
JNU,1005
KOA,2785
KTN,525
LAN,644
LAR,145
LAS,34764
LAW,253
LAX,47253
LBB,1138
LBE,298
LCH,225
LEX,1156
LFT,754
LGA,23622
LGB,2133
LIH,2697
LIT,1810
LNK,742
LRD,467
LSE,192
LWS,165
MAF,1359
MBS,458
MCI,9680
MCO,31455
MDT,490
MDW,19352
MEI,227
MEM,3096
MFE,520
MFR,646
MGM,549
MHT,1328
MIA,17429
MKE,7945
MKG,171
MLB,346
MLI,478
MLU,690
MMH,87
MOB,992
MOT,462
MQT,156
MRY,525
MSN,1698
MSO,566
MSP,28850
MSY,10245
MTJ,487
MYR,938
OAJ,275
OAK,10132
OGG,5325
OKC,3739
OMA,4041
OME,170
ONT,4478
ORD,54439
ORF,2425
ORH,175
OTH,49
OTZ,173
PAH,166
PBG,89
PBI,7207
PDX,12188
PHF,251
PHL,16625
PHX,38263
PIA,770
PIB,145
PIH,179
PIT,5538
PLN,195
PNS,1294
PPG,27
PSC,878
PSE,186
PSG,179
PSP,3159
PVD,2821
PWM,1114
RAP,536
RDD,175
RDM,504
RDU,7539
RHI,250
RIC,3537
RKS,158
RNO,2895
ROA,510
ROC,1740
ROW,41
RST,267
RSW,10340
SAF,220
SAN,17347
SAT,6740
SAV,1640
SBA,1356
SBN,1207
SBP,724
SCC,219
SCE,171
SDF,2171
SEA,28348
SFO,38535
SGF,681
SGU,473
SHV,1359
SIT,255
SJC,8979
SJT,77
SJU,6829
SLC,25524
SMF,8942
SMX,173
SNA,9842
SPI,405
SPS,81
SRQ,1070
STL,12496
STT,1392
STX,288
SUN,338
SWF,186
SYR,1424
TLH,666
TPA,17712
TRI,463
TTN,459
TUL,3403
TUS,4085
TVC,363
TWF,303
TXK,232
TYR,378
TYS,1552
UST,3
VLD,247
VPS,1035
WRG,173
XNA,1218
YAK,176
YUM,500
